Buckets,Error
3,16516289
2,23495766
4,12230628
5,9503156
7,7011143
8,6425140
6,8242725
9,5614454
10,5009897
11,4526025
12,4149091
13,3889979
15,3361798
14,3603078
17,2952352
16,3199188
19,2618194
18,2756752
21,2379186
20,2524252
22,2293401
23,2153094
24,2102871
25,1997690
26,1938546
27,1862372
28,1757285
29,1735013
30,1689902
31,1613296
33,1535342
32,1579886
35,1405822
34,1491001
36,1356469
37,1347746
38,1317748
39,1292748
40,1259277
41,1208319
42,1185200
43,1175554
44,1151838
45,1122862
46,1099812
47,1068540
48,1019111
49,971648
50,956426
51,944683
52,943642
53,933388
54,919486
55,908507
56,898457
57,888036
58,871427
59,851808
60,828894
62,801865
63,795724
61,809183
64,792192
66,782015
68,753446
65,790271
67,767097
69,740747
72,707316
70,728937
71,716870
73,696852
74,683110
75,663609
76,643093
77,621123
78,594627
79,573950
80,554635
81,543860
82,539558
83,533765
84,526375
85,524741
86,524370
87,524024
88,523035
89,521046
90,518616
91,515107
92,511042
93,507788
94,503545
96,496633
95,499861
97,493728
98,491117
99,487864
100,485145
101,482553
102,479532
104,473891
103,476790
106,466888
105,470744
107,461822
108,456709
109,451558
110,446789
112,434729
114,422492
111,441205
113,428385
115,416672
116,411783
117,406724
118,401465
119,397970
120,396214
121,395304
122,394204
123,392755
125,389172
124,391142
126,387621
127,387045
128,386988
129,386921
130,386679
131,386366
133,385270
132,385937
134,384522
135,383384
137,379130
136,381412
138,376711
139,374524
140,372562
141,370362
142,367801
143,364600
145,356163
144,360218
146,352507
147,349425
148,346586
149,343697
150,340603
151,337097
153,329161
152,333063
154,325460
155,322209
156,319272
157,316397
158,313693
159,310995
161,305339
160,308063
162,302410
163,299721
164,296859
165,294151
166,291426
167,288699
169,282649
168,285530
170,279865
171,277404
172,275117
174,270594
173,272822
175,268202
176,265796
177,263185
178,260586
179,258044
180,255401
181,252851
182,250364
183,247887
184,245022
186,238859
185,242108
188,231758
187,235588
189,227820
190,223820
192,214746
191,219537
193,209804
194,204570
195,199757
196,194526
197,189463
198,184516
199,179803
200,174769
201,169891
202,164802
203,159864
205,148896
204,154494
206,143098
207,137265
208,130542
209,123932
210,117194
212,104908
211,111107
213,99166
214,93999
215,88858
216,83855
217,78709
218,73533
219,68714
220,64009
221,59304
222,54656
223,50035
224,45334
225,40967
226,37111
227,34225
230,28422
229,29832
228,31687
231,27306
232,26088
233,25019
234,23976
235,23059
236,22046
237,20994
238,19932
240,17388
239,18743
241,15783
242,13933
243,12185
244,9927
245,7938
246,6103
249,1928
247,4482
248,3002
250,1081
251,544
252,229
253,65
254,0
255,0
256,0
